"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Glenn Gronkowski",3000,"NYJ@Buf 08:25PM ET",0.000,"Buf"
"WR","Cordarrelle Patterson",3000,"GB@Min 08:30PM ET",2.400,"Min"
"WR","Bryce Treggs",3000,"Phi@Chi 08:30PM ET",0,"Phi"
"WR","Jordan Payton",3000,"Bal@Cle 01:00PM ET",0,"Cle"
"RB","Damien Williams",3000,"Mia@NE 01:00PM ET",4.800,"Mia"
"RB","Kenneth Dixon",3000,"Bal@Cle 01:00PM ET",0,"Bal"
"RB","Jonathan Williams",3000,"NYJ@Buf 08:25PM ET",0,"Buf"
"WR","Ricardo Louis",3000,"Bal@Cle 01:00PM ET",0.000,"Cle"
"RB","Mike Davis",3000,"SF@Car 01:00PM ET",0.100,"SF"
"RB","Darius Jackson",3000,"Dal@Was 01:00PM ET",0,"Dal"
"RB","Kenyan Drake",3000,"Mia@NE 01:00PM ET",0.000,"Mia"
"WR","Cody Core",3000,"Cin@Pit 01:00PM ET",0,"Cin"
"WR","Aaron Burbridge",3000,"SF@Car 01:00PM ET",0.000,"SF"
"RB","Troymaine Pope",3000,"NYJ@Buf 08:25PM ET",0,"NYJ"
"WR","Chester Rogers",3000,"Ind@Den 04:25PM ET",0,"Ind"
"RB","Dwayne Washington",3000,"Ten@Det 01:00PM ET",6.100,"Det"
"RB","Cameron Artis-Payne",3000,"SF@Car 01:00PM ET",0,"Car"
"WR","Demarcus Robinson",3000,"KC@Hou 01:00PM ET",0.000,"KC"
"RB","Wendell Smallwood",3000,"Phi@Chi 08:30PM ET",0.100,"Phi"
"WR","Jalin Marshall",3000,"NYJ@Buf 08:25PM ET",0.000,"NYJ"
"WR","Lucky Whitehead",3000,"Dal@Was 01:00PM ET",0.000,"Dal"
"RB","Devontae Booker",3000,"Ind@Den 04:25PM ET",-0.200,"Den"
"WR","Rashard Higgins",3000,"Bal@Cle 01:00PM ET",0.000,"Cle"
"RB","Alex Collins",3000,"Sea@LA 04:05PM ET",0,"Sea"
"RB","Peyton Barber",3000,"TB@Ari 04:05PM ET",0.000,"TB"
"WR","Johnny Holton",3000,"Atl@Oak 04:25PM ET",0.000,"Oak"
"WR","Taylor Gabriel",3000,"Atl@Oak 04:25PM ET",0,"Atl"
"WR","Roger Lewis",3000,"NO@NYG 01:00PM ET",0,"NYG"
"WR","Tyreek Hill",3000,"KC@Hou 01:00PM ET",7.900,"KC"
"WR","Mike Thomas",3000,"Sea@LA 04:05PM ET",0.000,"LA"
